habitat,habitat2,time,angle,se
driftsand,Dune,day,0.553443905807402,0.00820304748437335
driftsand,Dune,night,0.654847535348273,0.0118682389135614
wet_heathland,Heath,day,0.51696652444072,0.016929693744345
wet_heathland,Heath,night,0.616973890579996,0.0191986217719376
dry_heathland,Heath,day,0.830602191024101,0.0228638132011257
dry_heathland,Heath,night,0.902509756206268,0.02460914245312
pine_forest,Forest,day,0.560774288665778,0.0165806278939461
pine_forest,Forest,night,0.662352451131848,0.0188495559215388
mixed_forest,Forest,day,0.635997979426734,0.0179768912955416
mixed_forest,Forest,night,0.73548174679041,0.0200712863979348
pasture,Meadow,day,0.657640062151463,0.0176278254451427
pasture,Meadow,night,0.755378500263146,0.0202458193231342
