species,habitat,habitat2,time,speed,se,lcl,ucl,unit
red_deer,driftsand,sand,day,19.2,3.84,13.2,28.32,km_day
red_deer,driftsand,sand,night,26.16,5.04,17.52,37.68,km_day
red_deer,wet_heathland,heath,day,18.48,3.6,13.2,27.12,km_day
red_deer,wet_heathland,heath,night,24.96,4.8,17.52,36.96,km_day
red_deer,dry_heathland,heath,day,9.12,1.68,6,12.72,km_day
red_deer,dry_heathland,heath,night,12.24,2.4,8.64,17.76,km_day
red_deer,pine_forest,forest,day,9.6,1.92,6.48,13.92,km_day
red_deer,pine_forest,forest,night,13.2,2.4,9.12,18.48,km_day
red_deer,mixed_forest,forest,day,9.84,1.92,6.72,13.92,km_day
red_deer,mixed_forest,forest,night,13.44,2.64,9.12,19.2,km_day
red_deer,pasture,meadow,day,7.44,1.44,5.28,10.8,km_day
red_deer,pasture,meadow,night,10.08,1.92,6.96,14.4,km_day
mouflon,driftsand,sand,day,28.08,5.52,18.96,40.32,km_day
mouflon,driftsand,sand,night,38.16,7.2,26.64,54.48,km_day
mouflon,wet_heathland,heath,day,26.88,5.28,18.48,39.36,km_day
mouflon,wet_heathland,heath,night,36.72,7.44,24.96,54,km_day
mouflon,dry_heathland,heath,day,13.2,2.64,8.64,18.96,km_day
mouflon,dry_heathland,heath,night,18,3.6,12.48,26.64,km_day
mouflon,pine_forest,forest,day,14.16,2.64,9.36,20.16,km_day
mouflon,pine_forest,forest,night,19.2,3.6,13.44,27.36,km_day
mouflon,mixed_forest,forest,day,14.4,2.88,9.6,20.88,km_day
mouflon,mixed_forest,forest,night,19.44,3.84,13.44,28.8,km_day
mouflon,pasture,meadow,day,10.8,2.16,7.2,15.36,km_day
mouflon,pasture,meadow,night,14.64,2.88,9.84,21.12,km_day
roe_deer,driftsand,sand,day,27.36,6,18,41.52,km_day
roe_deer,driftsand,sand,night,36.96,7.68,24.72,54.72,km_day
roe_deer,wet_heathland,heath,day,26.16,5.28,18.24,37.92,km_day
roe_deer,wet_heathland,heath,night,35.52,6.72,25.2,50.88,km_day
roe_deer,dry_heathland,heath,day,12.72,2.88,8.4,19.2,km_day
roe_deer,dry_heathland,heath,night,17.28,3.6,11.76,25.68,km_day
roe_deer,pine_forest,forest,day,13.68,2.88,9.12,20.16,km_day
roe_deer,pine_forest,forest,night,18.72,3.36,12.96,26.4,km_day
roe_deer,mixed_forest,forest,day,13.92,2.88,9.36,20.4,km_day
roe_deer,mixed_forest,forest,night,18.96,3.84,12.96,27.36,km_day
roe_deer,pasture,meadow,day,10.56,2.16,7.2,15.36,km_day
roe_deer,pasture,meadow,night,14.16,2.64,9.84,20.4,km_day
wild_boar,driftsand,sand,day,17.76,3.6,12,25.2,km_day
wild_boar,driftsand,sand,night,24,4.56,16.32,35.04,km_day
wild_boar,wet_heathland,heath,day,17.04,3.12,12,23.76,km_day
wild_boar,wet_heathland,heath,night,23.04,4.32,15.84,32.4,km_day
wild_boar,dry_heathland,heath,day,8.4,1.68,5.76,12.48,km_day
wild_boar,dry_heathland,heath,night,11.28,2.16,7.92,16.56,km_day
wild_boar,pine_forest,forest,day,8.88,1.68,6,12.48,km_day
wild_boar,pine_forest,forest,night,12,2.16,8.4,16.8,km_day
wild_boar,mixed_forest,forest,day,9.12,1.92,6,12.96,km_day
wild_boar,mixed_forest,forest,night,12.24,2.4,8.4,18,km_day
wild_boar,pasture,meadow,day,6.72,1.2,4.8,9.6,km_day
wild_boar,pasture,meadow,night,9.12,1.68,6.48,13.2,km_day
